ASIN,product_name,brand,FBA_label,amazon_choice,price_in_US_dollars,unit_price_flag,unit_price_USdollars,unit_price_unit,top_sales_rank,subscribe_flag,shipping_weight_in_ounces,answered_questions,rating_avg,rating_nums,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,subscribe_5_unitprice,subscribe_5_unit,subscribe_15_unitprice,subscribe_15_unit,unit_price2,unit_price,FBA,productDescription,product_image_urls,product_url,subscribe,subscribe_price_5per,shipping_weight,subscribe_price_15per_unit_price,subscribe_price_5per_unit_price,subscribe_price_15per_USdollars,subscribe_price_5per_USdollars
B0009K79UA,UCC The Blend 114 Instant Coffee 3.17 Ounce,C&U,FBA,False,14.91,True,4.24,Ounce,454.0,False,13.6,3,4.3,38.0,0.06,0.0,0.16,0.1,0.67,,,,,4.24 / Ounce,($4.24 / Ounce),Sold by Hype Sell and Fulfilled by Amazon.,,https://m.media-amazon.com/images/I/91FFO+U4hML._AC_UL320_.jpg,https://www.amazon.com/Blend-Instant-Coffee-3-17-Ounce/dp/B0009K79UA/ref=sr_1_229?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-229&ts_id=2251594011&psc=1,,,13.6 ounces,nan,nan,,
B0009K79UK,UCC - The Blend 117 Instant Coffee 3.52 Oz.,C&U,FBA,True,11.25,True,3.2,Ounce,154.0,False,14.4,5,4.4,96.0,0.07,0.05,0.03,0.1,0.75,,,,,3.20 / Ounce,($3.20 / Ounce),Sold by Whazzy Bargain and Fulfilled by Amazon.,"UCC - The Blend 117 Instant Coffee is a mixture of different beans from around the UCC estates and a mixture of different roasts of beans from dark, medium, and light. It is a full bodied coffee with perfect levels of acidity, aroma, and smooth flavor intensity.",https://m.media-amazon.com/images/I/81zqUFmgZ6L._AC_UL320_.jpg,https://www.amazon.com/UCC-Blend-Instant-Coffee-3-52/dp/B0009K79UK/ref=sr_1_109?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-109&ts_id=2251594011&psc=1,,,14.4 ounces,nan,nan,,
B0009MYJLA,"Jablum Instant Coffee, 6 pack of 3.5 oz jars",JABLUM,,False,155.0,False,,,2705.0,False,20.8,0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,1.31 pounds,,3 pack of Jablum Instant 3.5 oz jars,https://m.media-amazon.com/images/I/41dKnKFV9EL._AC_UL320_.jpg,https://www.amazon.com/Jablum-Instant-Coffee-pack-jars/dp/B0009MYJLA/ref=sr_1_1461?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1461&ts_id=2251594011&psc=1,,,1.3 pounds,nan,nan,,
B000BKGPUI,Big Train Blended Ice Coffees 3.5 lb 8oz / 56oz - Single Bag,Big Train,Amazon product,True,27.97,True,0.58,Ounce,495.0,False,56.0,5,4.2,30.0,0.1,0.0,0.13,0.13,0.64,,,,,0.58 / Ounce,($0.58 / Ounce),Ships from and sold by Amazon.com.,Big Train Blended Ice Coffees Caramel 3.5lb (8oz)- Single Bag,https://m.media-amazon.com/images/I/51PbLS5JVIL._AC_UL320_.jpg,https://www.amazon.com/Big-Train-Blended-Coffees-Caramel/dp/B000BKGPUI/ref=sr_1_2145?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-2145&ts_id=2251594011&psc=1,,,3.5 pounds,nan,nan,,
B000BKGPVM,Big Train Blended Iced Coffee - Toffee Mocha (3.5lb Bulk),Big Train,FBA,False,35.0,True,0.63,Ounce,1358.0,True,57.6,0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.48, Ounce,0.46, Ounce,0.63 / Ounce,($0.63 / Ounce),Auto-deliveries sold by Cadima Rani and Fulfilled by Amazon,Big train Powdered Drink Mix,https://m.media-amazon.com/images/I/910Rjx5vxJL._AC_UL320_.jpg,https://www.amazon.com/Big-Train-Blended-Iced-Coffee/dp/B000BKGPVM/ref=sr_1_2516?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-2516&ts_id=2251594011&psc=1,Subscribe & Save:,$27.07,3.6 pounds,0.46 /  Ounce,0.48 /  Ounce,25.64,27.07
B000ESJR20,"Mount Hagen Organic Freeze Dried Instant Coffee, Award-Winning Single-Origin 100% Arabica 3.53 Ounce Jars (Pack of 6)",Mount Hagen,FBA,True,52.48,True,2.48,Ounce,62.0,True,75.2,26,4.7,381.0,0.03,0.01,0.03,0.07,0.87,2.48, Ounce,2.35, Ounce,2.48 / Ounce,($2.48 / Ounce),Auto-deliveries sold by Vitamins4Beauty and Fulfilled by Amazon,"Mount Hagen instant organic coffee is organically grown highland coffee made from 100% Arabica beans. It is the first certified organic freeze dried coffee in the world. Mount Hagen is 100% organic certified by EcoCert in accordance with the organic standards of the U.S. Department of Agriculture. Mount Hagen has been carefully selected and separately harvested to bring you the highest quality, mild and naturally rich in flavored coffee. The freeze-dried coffee process is achieved without the use of any form of preservatives or additives. Our coffees are from plantations of the best cultivation areas in the world. These highland coffees are quarantined to be organically grown without the use of any artificial chemicals such as herbicides, pesticides, fungicides or fertilizers.",https://m.media-amazon.com/images/I/41-rS8+JUZL._AC_UL320_.jpg,https://www.amazon.com/Mount-Hagen-Organic-Instant-3-53-Ounce/dp/B000ESJR20/ref=sr_1_38?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-38&ts_id=2251594011&psc=1,Subscribe & Save:,$52.48,4.7 pounds,2.35 /  Ounce,2.48 /  Ounce,49.86,52.48
B000ESJR2A,"Mount Hagen Organic Freeze Dried Instant Decaffeinated Coffee, Award-Winning, House Blend, Kosher, 3.53-Ounce Jars (Pack of 6)",Mount Hagen,FBA,True,49.99,True,2.36,Ounce,167.0,False,78.4,15,4.6,240.0,0.07,0.02,0.01,0.09,0.81,,,,,2.36 / Ounce,($2.36 / Ounce),Sold by DEAL26 and Fulfilled by Amazon.,"Mount Hagen instant organic coffee is organically grown highland coffee made from 100% Arabica beans. It is the first certified organic freeze dried coffee in the world. Mount Hagen is 100% organic certified by EcoCert in accordance with the organic standards of the U. S. Department of Agriculture. Mount Hagen has been carefully selected and separately harvested to bring you the highest quality, mild and naturally rich in flavored coffee. The freeze-dried coffee process is achieved without the use of any form of preservatives or additives. Our coffees are from plantations of the best cultivation areas in the world. These highland coffees are quarantined to be organically grown without the use of any artificial chemicals such as herbicides, pesticides, fungicides or fertilizers. Mount Hagen Organic Instant Decaffeinated Coffee is made using the CR3 Natural Liquid Carbon Dioxide Coffee Decaffeination Process. In this patented process, the natural carbon dioxide is used under subcritical conditions i. e. in a liquid state at (relative to the supercritical process) low temperature and pressure. This process makes sure the compounds responsible for the flavor and taste development in the roasted coffee are left practically intact. This reduces any health risk since the coffee is contacted only with 100% safe substances: the chemically inert, completely evaporating, carbon dioxide and pure water, allowing Mount Hagen to offer a high quality, 99. 99% caffeine free instant decaf coffee to satisfy even the most discriminating taste.",https://m.media-amazon.com/images/I/81u8oQiXaZL._AC_UL320_.jpg,https://www.amazon.com/Mount-Hagen-Organic-Decaffeinated-3-53-Ounce/dp/B000ESJR2A/ref=sr_1_204?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-204&ts_id=2251594011&psc=1,,,4.9 pounds,nan,nan,,
B000FI2NZW,Folgers Cappuccino French Vanilla 16 oz(Pack of 4),Folgers,Third Party,False,41.29,True,0.65,Ounce,1797.0,False,73.6,0,4.8,8.0,0.0,0.0,0.0,0.23,0.77,,,,,0.65 / Ounce,($0.65 / Ounce),Ships from and sold by Local Favs.,,https://m.media-amazon.com/images/I/51jDUPuftaL._AC_UL320_.jpg,https://www.amazon.com/Folgers-Cappuccino-French-Vanilla-Pack/dp/B000FI2NZW/ref=sr_1_3129?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-3129&ts_id=2251594011&psc=1,,,4.6 pounds,nan,nan,,
B000GL17DM,Hospitality Brands HT8091-012 Barista Cappuccino White Cup 7oz (Pack of 12),Hospitality Brands,Third Party,False,27.0,True,2.25,Item,5341.0,False,2.9,0,4.5,14.0,0.0,0.0,0.12,0.31,0.57,,,,,2.25 / Item,($2.25 / Item),Ships from and sold by DaaVeeDee.,"This item is part of Hospitality Brands’ extensive offering of glassware, tableware and barware products to the hospitality industry.",https://m.media-amazon.com/images/I/519T3PN12ML._AC_UL320_.jpg,https://www.amazon.com/Bellman-And-True-DVD/dp/B000GL17DM/ref=sr_1_4214?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-4214&ts_id=2251594011&psc=1,,,2.9 ounces,nan,nan,,
B000H28ADA,"Caffe D’Vita Mocha Cappuccino, 6 Pack (16 oz)",Caffe D'Vita,FBA,False,35.99,False,,,240.0,False,121.6,11,4.8,116.0,0.03,0.0,0.0,0.08,0.88,,,,,,6.9 pounds,Sold by OnlinePrimeBrands and Fulfilled by Amazon.,Nothing goes together like chocolate and coffee. This classic flavor combination is perfect at any time of the day. Our Coffee and premium ingredients create a rich and creamy flavor experience you can enjoy with family and friends.,https://m.media-amazon.com/images/I/61cxwM2f0QL._AC_UL320_.jpg,https://www.amazon.com/Caffe-DVita-Cappuccino-16-Ounce-Canisters/dp/B000H28ADA/ref=sr_1_2469?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-2469&ts_id=2251594011&psc=1,,,7.6 pounds,nan,nan,,
B000H28ADK,"Caffe D’Vita White Chocolate Cappuccino, Pack of 6, 1 lb cans (16 oz)",Caffe D'Vita,,False,36.99,False,,,305.0,False,64.0,0,4.3,57.0,0.1,0.05,0.06,0.07,0.72,,,,,,1.34 pounds,,You’ll taste the rich flavor of white chocolate in every sip. Our Coffee and premium ingredients create a rich and creamy flavor experience you can enjoy with family and friends.,https://m.media-amazon.com/images/I/61r3gKapvKL._AC_UL320_.jpg,https://www.amazon.com/Caffe-DVita-Chocolate-Cappuccino-Canisters/dp/B000H28ADK/ref=sr_1_2313?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-2313&ts_id=2251594011&psc=1,,,4 pounds,nan,nan,,
B000H28AE4,"Caffe D’Vita Hazelnut Cappuccino, 6 Pack (16 oz)",Caffe D'Vita,FBA,False,36.99,True,0.39,Ounce,329.0,False,99.2,3,4.0,37.0,0.11,0.06,0.13,0.1,0.61,,,,,0.39 / Ounce,($0.39 / Ounce),Sold by OnlinePrimeBrands and Fulfilled by Amazon.,The enticing aroma combined with the nutty flavor make hazelnut cappuccino a delectable treat. Our Coffee and premium ingredients create a rich and creamy flavor experience you can enjoy with family and friends.,https://m.media-amazon.com/images/I/61TTljy3DlL._AC_UL320_.jpg,https://www.amazon.com/Caffe-DVita-Hazelnut-Cappuccino-1-Pound/dp/B000H28AE4/ref=sr_1_2779?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-2779&ts_id=2251594011&psc=1,,,6.2 pounds,nan,nan,,
B000H299AI,"Caffe D’Vita French Vanilla Cappuccino, 6 Pack (16 oz)",Caffe D'Vita,FBA,False,36.99,False,,,455.0,False,126.4,3,4.4,70.0,0.09,0.02,0.07,0.06,0.75,,,,,,12 x 9 x 5.5 inches ; 6.9 pounds,Sold by OnlinePrimeBrands and Fulfilled by Amazon.,Our Coffee and premium ingredients create a rich and creamy flavor experience you can enjoy with family and friends.,https://m.media-amazon.com/images/I/61ID8KILXmL._AC_UL320_.jpg,https://www.amazon.com/Caffe-DVita-French-Vanilla-Cappuccino/dp/B000H299AI/ref=sr_1_1157?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1157&ts_id=2251594011&psc=1,,,7.9 pounds,nan,nan,,
B000H2B2A8,"Caffe D’Vita English Toffee Cappuccino, Pack of 6, 1 lb cans (16 oz)",Caffe D'Vita,FBA,False,35.49,True,0.37,Ounce,458.0,False,112.0,0,4.2,50.0,0.1,0.03,0.08,0.17,0.61,,,,,0.37 / Ounce,($0.37 / Ounce),Sold by OnlinePrimeBrands and Fulfilled by Amazon.,The bold flavor of coffee with a hint of buttery sweetness is sure to become your favorite. Our Coffee and premium ingredients create a rich and creamy flavor experience you can enjoy with family and friends.,https://m.media-amazon.com/images/I/61WPmEKnvTL._AC_UL320_.jpg,https://www.amazon.com/Caffe-DVita-Cappuccino-16-Ounce-Canisters/dp/B000H2B2A8/ref=sr_1_2023?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-2023&ts_id=2251594011&psc=1,,,7 pounds,nan,nan,,
B000I4PXBO,"Victorian Inn Instant Cappuccino, French Vanilla, 16-Ounce Canisters (Pack of 6)",Victorian Inn,Third Party,False,40.11,True,0.42,Ounce,1291.0,False,108.8,0,4.1,107.0,0.11,0.04,0.14,0.07,0.65,,,,,0.42 / Ounce,($0.42 / Ounce),Ships from and sold by Victorian Inn.,Made exclusively for taste! Just add water. Makes 21 servings. No trans fat.,https://m.media-amazon.com/images/I/81vjUO8cxrL._AC_UL320_.jpg,https://www.amazon.com/Victorian-Inn-Cappuccino-16-Ounce-Canisters/dp/B000I4PXBO/ref=sr_1_2771?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-2771&ts_id=2251594011&psc=1,,,6.8 pounds,nan,nan,,
B000I4PXCS,"Victorian Inn Instant Cappuccino, Hazelnut, 16-Ounce Canisters (Pack of 6)",Victorian Inn,Third Party,False,,False,,,1903.0,False,115.2,0,3.8,42.0,0.15,0.11,0.1,0.1,0.54,,,,,,1 pounds,Ships from and sold by Victorian Inn.,Made exclusively for taste! Just add water. Makes 23 servings. No trans fat.,https://m.media-amazon.com/images/I/81lC4H+f7ZL._AC_UL320_.jpg,https://www.amazon.com/Victorian-Inn-Cappuccino-Hazelnut-Canisters/dp/B000I4PXCS/ref=sr_1_3069?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-3069&ts_id=2251594011&psc=1,,,7.2 pounds,nan,nan,,
B000I4PXE6,"Victorian Inn Instant Cappuccino, Mocha, 16-Ounce Canisters (Pack of 6)",Victorian Inn,Third Party,False,40.87,True,0.43,Ounce,2012.0,False,108.8,0,3.4,23.0,0.12,0.2,0.15,0.2,0.33,,,,,0.43 / Ounce,($0.43 / Ounce),Ships from and sold by Victorian Inn.,Made exclusively for taste! Just add water. Makes 23 servings.,https://m.media-amazon.com/images/I/71TRbzX4UaL._AC_UL320_.jpg,https://www.amazon.com/Victorian-Inn-Cappuccino-16-Ounce-Canisters/dp/B000I4PXE6/ref=sr_1_3094?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-3094&ts_id=2251594011&psc=1,,,6.8 pounds,nan,nan,,
B000I4PXG4,"Victorian Inn Instant Cappuccino, White Chocolate Caramel, 16-Ounce Canisters (Pack of 6)",Victorian Inn,Third Party,False,40.87,True,0.43,Ounce,2119.0,False,116.8,0,4.1,19.0,0.0,0.12,0.12,0.24,0.51,,,,,0.43 / Ounce,($0.43 / Ounce),Ships from and sold by Victorian Inn.,Made exclusively for taste! Just add water. Makes 21 servings. No trans fat.,https://m.media-amazon.com/images/I/91BXRCJi08L._AC_UL320_.jpg,https://www.amazon.com/Victorian-Inn-Cappuccino-Chocolate-Canisters/dp/B000I4PXG4/ref=sr_1_2893?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-2893&ts_id=2251594011&psc=1,,,7.3 pounds,nan,nan,,
B000I6LXTI,NESCAFE Gold Blend Decaf 500GM 00230,Nescafé,,False,78.0,False,,,,False,,0,4.9,15.0,0.0,0.0,0.0,0.14,0.86,,,,,,1.1 pounds,,NESCAFE GOLD BLEND DECAF 500GM 00230,https://m.media-amazon.com/images/I/61oDo7sczWL._AC_UL320_.jpg,https://www.amazon.com/NESCAFE-BLEND-DECAF-500GM-00230/dp/B000I6LXTI/ref=sr_1_3951?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-3951&ts_id=2251594011&psc=1,,,nan,nan,nan,,
B000IH0TNI,"Jacobs 3in1 Classic Instant Coffee Sticks, 10 Single Servings (Pack of 1)",JACOBS,FBA,False,12.15,True,1.22,Count,776.0,False,7.8,5,4.5,28.0,0.0,0.04,0.13,0.15,0.69,,,,,1.22 / Count,($1.22 / Count),Sold by Bluepolars Incredible Food and Fulfilled by Amazon.,"GetrÃ¤nkepulver mit lÃslichem Bohnenkaffee (8%), KaffeeweiÃŸer und Zucker.",https://m.media-amazon.com/images/I/814Um8EvsTL._AC_UL320_.jpg,https://www.amazon.com/Jacobs-Instant-Coffee-Sticks-Servings/dp/B000IH0TNI/ref=sr_1_631?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-631&ts_id=2251594011&psc=1,,,7.8 ounces,nan,nan,,
B000IH2JEU,Jacobs 2 in 1- Instant Coffee with Cream (10 x 16 g)-Pack of 2,JACOBS,Third Party,False,28.99,True,28.99,Count,1093.0,False,7.0,0,4.9,11.0,0.0,0.0,0.0,0.14,0.86,,,,,28.99 / Count,($28.99 / Count),Ships from and sold by EuroHomeDesignz.,LÃslicher Bohnenkaffee mit KaffeeweiÃŸer.,https://m.media-amazon.com/images/I/51M0TESWNAL._AC_UL320_.jpg,https://www.amazon.com/Jacobs-Instant-Coffee-Cream-Pack/dp/B000IH2JEU/ref=sr_1_1088?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1088&ts_id=2251594011&psc=1,,,7 ounces,nan,nan,,
